id,refcode,type,fulltext,address,author,booktitle,comment,edition,editor,journal,month,note,number,pages,publisher,school,title,url,volume,year
98,m53,mastersthesis,"Mahar, James Michael., 1953, Ethnobotany of the Oregon Paiutes of the Warm Springs Indian Reservation, Reed College, B.A. Thesis",,"Mahar, James Michael.",,,,,,,"B.A. Thesis",,,,"Reed College","Ethnobotany of the Oregon Paiutes of the Warm Springs Indian Reservation",,,1953
99,f80,article,"Fleisher, Mark S., 1980, The Ethnobotany of the Clallam Indians of Western Washington, Northwest Anthropological Research Notes 14(2):192-210",,"Fleisher, Mark S.",,,,,"Northwest Anthropological Research Notes",,,2,192-210,,,"The Ethnobotany of the Clallam Indians of Western Washington",,14,1980
100,bg33,article,"Barrett, S. A. and E. W. Gifford, 1933, Miwok Material Culture, Bulletin of the Public Museum of the City of Milwaukee 2(4):11",,"Barrett, S. A. and E. W. Gifford",,,,,"Bulletin of the Public Museum of the City of Milwaukee",,,4,11,,,"Miwok Material Culture",,2,1933
101,ttco83,book,"Turner, Nancy J., John Thomas, Barry F. Carlson and Robert T. Ogilvie, 1983, Ethnobotany of the Nitinaht Indians of Vancouver Island, Victoria. British Columbia Provincial Museum",Victoria,"Turner, Nancy J. and John Thomas and Barry F. Carlson and Robert T. Ogilvie",,,,,,,,,,"British Columbia Provincial Museum",,"Ethnobotany of the Nitinaht Indians of Vancouver Island",,,1983
102,shc42,article,"Speck, Frank G., R.B. Hassrick and E.S. Carpenter, 1942, Rappahannock Herbals, Folk-Lore and Science of Cures, Proceedings of the Delaware County Institute of Science 10:7-55.",,"Speck, Frank G. and R. B. Hassrick and E. S. Carpenter",,,,,"Proceedings of the Delaware County Institute of Science",,,,7-55,,,"Rappahannock Herbals, Folk-Lore and Science of Cures",,10,1942
103,s17,inproceedings,"Speck, Frank G., 1917, Medicine Practices of the Northeastern Algonquians, Proceedings of the 19th International Congress of Americanists Pp. 303-321",,"Speck, Frank G.","Proceedings of the 19th International Congress of Americanists",,,,,,,,303-321,,,"Medicine Practices of the Northeastern Algonquians",,,1917
104,r08,article,"Russell, Frank, 1908, The Pima Indians, SI-BAE Annual Report #26:1-390",,"Russell, Frank",,,,,"SI-BAE Annual Report",,,,1-390,,,"The Pima Indians",,26,1908
105,w47,article,"Witthoft, John, 1947, An Early Cherokee Ethnobotanical Note, Journal of the Washington Academy of Sciences 37(3):73-75",,"Witthoft, John",,,,,"Journal of the Washington Academy of Sciences",,,3,73-75,,,"An Early Cherokee Ethnobotanical Note",,37,1947
106,wh51,book,"Wyman, Leland C. and Stuart K. Harris, 1951, The Ethnobotany of the Kayenta Navaho, Albuquerque. The University of New Mexico Press",Albuquerque,"Wyman, Leland C. and Stuart K. Harris",,,,,,,,,,"The University of New Mexico Press",,"The Ethnobotany of the Kayenta Navaho",,,1951
107,p10,book,"Parker, Arthur Caswell, 1910, Iroquois Uses of Maize and Other Food Plants, Albany, NY. University of the State of New York","Albany, NY","Parker, Arthur Caswell",,,,,,,,,,"University of the State of New York",,"Iroquois Uses of Maize and Other Food Plants",,,1910
108,r80,book,"Rogers, Dilwyn J, 1980, Lakota Names and Traditional Uses of Native Plants by Sicangu (Brule) People in the Rosebud Area, South Dakota, St. Francis, SD. Rosebud Educational Scoiety","St Francis, SD","Rogers, Dilwyn J.",,,,,,,,,,"Rosebud Educational Society",,"Lakota Names and Traditional Uses of Native Plants by Sicangu (Brule) People in the Rosebud Area, South Dakota",,,1980
109,m66,book,"Merriam, C. Hart, 1966, Ethnographic Notes on California Indian Tribes, University of California Archaeological Research Facility, Berkeley",Berkeley,"Merriam, C. Hart",,,,,,,,,,"University of California Archaeological Research Facility",,"Ethnographic Notes on California Indian Tribes",,,1966
110,tan28,article,"Tantaquidgeon, Gladys, 1928, Mohegan Medicinal Practices, Weather-Lore and Superstitions, SI-BAE Annual Report #43: 264-270",,"Tantaquidgeon, Gladys",,,,,"SI-BAE Annual Report",,,,264-270,,,"Mohegan Medicinal Practices, Weather-Lore and Superstitions",,43,1928
111,m90,book,"Murphey, Edith Van Allen, 1990, Indian Uses of Native Plants, Glenwood, Ill. Meyerbooks.  Originally published in 1959","Glenwood, Ill","Murphey, Edith Van Allen",,,,,,,"Originally published in 1959",,,Meyerbooks,,"Indian Uses of Native Plants",,,1990
112,w16,book,"Waugh, F. W., 1916, Iroquis Foods and Food Preparation, Ottawa. Canada Department of Mines",Ottawa,"Waugh, F. W.",,,,,,,,,,"Canada Department of Mines",,"Iroquis Foods and Food Preparation",,,1916
113,ray45,article,"Raymond, Marcel., 1945, Notes Ethnobotaniques Sur Les Tete-De-Boule De Manouan, Contributions de l'Institut botanique l'Universite de Montreal 55:113-134",,"Raymond, Marcel.",,,,,"Contributions de l'Institut botanique l'Universite de Montreal",,,,113-134,,,"Notes Ethnobotaniques Sur Les Tete-De-Boule De Manouan",,55,1945
114,g27,book,"Gunther, Erna, 1927, Klallam Ethnography, Seattle. University of Washington Press",Seattle,"Gunther, Erna",,,,,,,,,,"University of Washington Press",,"Klallam Ethnography",,,1927
115,t40,book,"Taylor, Linda Averill, 1940, Plants Used As Curatives by Certain Southeastern Tribes, Cambridge, MA. Botanical Museum of Harvard University","Cambridge, MA","Taylor, Linda Averill",,,,,,,,,,"Botanical Museum of Harvard University",,"Plants Used As Curatives by Certain Southeastern Tribes",,,1940
116,r45i,article,"Rousseau, Jacques, 1945, Le Folklore Botanique De L'ile Aux Coudres, Contributions de l'Institut botanique l'Universite de Montreal 55:75-111",,"Rousseau, Jacques",,,,,"Contributions de l'Institut botanique l'Universite de Montreal",,,,75-111,,,"Le Folklore Botanique De L'ile Aux Coudres",,55,1945
117,f90,book,"Fowler, Catherine S., 1990, Tule Technology:  Northern Paiute Uses of Marsh Resources in Western Nevada, Washington, D.C. Smithsonian Institution Press","Washington, DC","Fowler, Catherine S.",,,,,,,,,,"Smithsonian Institution Press",,"Tule Technology: Northern Paiute Uses of Marsh Resources in Western Nevada,",,,1990
118,bd09,article,"Bushnell, Jr., David I., 1909, The Choctaw of Bayou Lacomb, St. Tammany Parish, Louisiana, SI-BAE Bulletin #48",,"Bushnell, Jr., and David, I.",,,,,"SI-BAE Bulletin",,,,,,,"The Choctaw of Bayou Lacomb, St. Tammany Parish, Louisiana",,48,1909
119,steg41,article,"Steggerda, Morris, 1941, Navajo Foods and Their Preparation, Journal of the American Dietetic Association 17(3):217-25",,"Steggerda, Morris",,,,,"Journal of the American Dietetic Association",,,3,217-25,,,"Navajo Foods and Their Preparation",,17,1941
120,b44,article,"Burgesse, J. Allen, 1944, The Woman and the Child Among the Lac-St.-Jean Montagnais, Primitive Man 17:1-18",,"Burgesse, J. Allen",,,,,"Primitive Man",,,,1-18,,,"The Woman and the Child Among the Lac-St.-Jean Montagnais",,17,1944
121,l86,book,"Lynch, Regina H., 1986, Cookbook, Chinle, AZ. Navajo Curriculum Center, Rough Rock Demonstration School","Chinle, AZ","Lynch, Regina H.",,,,,,,,,,"Rough Rock Demonstration School, Navajo Curriculum Center",,Cookbook,,,1986
122,h75,article,"Hinton, Leanne, 1975, Notes on La Huerta Diegueno Ethnobotany, Journal of California Anthropology 2:214-222",,"Hinton, Leanne",,,,,"Journal of California Anthropology",,,,214-222,,,"Notes on La Huerta Diegueno Ethnobotany",,2,1975
123,a54,article,"Aller, Wilma F., 1954, Aboriginal Food Utilization of Vegetation by the Indians of the Great Lake Region As Recorded in the Jesuit Relations, Wisconsin Archeologist 35:59-73",,"Aller, Wilma F.",,,,,"Wisconsin Archeologist",,,,59-73,,,"Aboriginal Food Utilization of Vegetation by the Indians of the Great Lake Region As Recorded in the Jesuit Relations",,35,1954
124,ff11,article,"Fletcher, Alice C. and Francis La Flesche, 1911, The Omaha Tribe, SI-BAE Annual Report #27",,"Fletcher, Alice C. and Francis La Flesche",,,,,"SI-BAE Annual Report",,,,,,,"The Omaha Tribe",,27,1911
125,cb51,book,"Castetter, Edward F. and Willis H. Bell, 1951, Yuman Indian Agriculture, Albuquerque: University of New Mexico Press",Albuquerque,"Castetter, Edward F. and Willis H. Bell",,,,,,,,,,"University of New Mexico Press",,"Yuman Indian Agriculture",,,1951
126,vest40,article,"Vestal, Paul A, 1940, Notes on a Collection of Plants from the Hopi Indian Region of Arizona Made by J. G. Owens in 1891, Botanical Museum Leaflets (Harvard University) 8(8):153-168",,"Vestal, Paul A.",,,,,"Botanical Museum Leaflets (Harvard University)",,,8,153-168,,,"Notes on a Collection of Plants from the Hopi Indian Region of Arizona Made by J.G. Owens in 1891",,8,1940
127,w82,book,"Watahomigie, Lucille J., 1982, Hualapai Ethnobotany, Peach Springs, AZ. Hualapai Bilingual Program, Peach Springs School District #8","Peach Springs, AZ","Watahomigie, Lucille J.",,,,,,,,,,"Hualapai Bilingual Program, Peach Springs School District #8",,"Hualapai Ethnobotany",,,1982
128,swan28,article,"Swanton, John R, 1928, Religious Beliefs and Medical Practices of the Creek Indians, SI-BAE Annual Report #42:473-672",,"Swanton, John R.",,,,,"SI-BAE Annual Report",,,,473-672,,,"Religious Beliefs and Medical Practices of the Creek Indians",,42,1928
129,g53,article,"Garth, Thomas R., 1953, Atsugewi Ethnography, Anthropological Records 14(2):140-141",,"Garth, Thomas R.",,,,,"Anthropological Records",,,2,140-141,,,"Atsugewi Ethnography",,14,1953
130,bt53,article,"Bank, II, Theodore P., 1953, Botanical and Ethnobotanical Studies in the Aleutian Islands  II.  Health and Medical Lore of the Aleuts, Botanical and Ethnobotanical Studies Papers, Michigan Academy of Science, Arts and Letters",,"Bank, I. I. and Theodore, P.",,,,,"Botanical and Ethnobotanical Studies Papers, Michigan Academy of Science, Arts and Letter",,,,,,,"Botanical and Ethnobotanical Studies in the Aleutian Islands II. Health and Medical Lore of the Aleuts",,,1953
131,t89,article,"Theodoratus, Robert J., 1989, Loss, Transfer, and Reintroduction in the Use of Wild Plant Foods in the Upper Skagit Valley, Northwest Anthropological Research Notes 23(1):35-52",,"Theodoratus, Robert J.",,,,,"Northwest Anthropological Research Notes",,,1,35-52,,,"Loss, Transfer, and Reintroduction in the Use of Wild Plant Foods in the Upper Skagit Valley",,23,1989
132,h53,book,"Heller, Christine A., 1953, Edible and Poisonous Plants of Alaska, University of Alaska",,"Heller, Christine A.",,,,,,,,,,"University of Alaska",,"Edible and Poisonous Plants of Alaska",,,1953
133,k56,book,"Krause, Aurel, 1956, The Tlingit Indians. Translated by Erna Gunther, Seattle. University of Washington Press",Seattle,"Krause, Aurel",,,,,,,"Translated by Erna Gunther",,,"University of Washington Press",,"The Tlingit Indians",,,1956
134,c73,book,"Carrier Linguistic Committee, 1973, Plants of Carrier Country, Fort St. James, BC. Carrier Linguistic Committee","Fort St James, BC","Carrier Linguistic Committee",,,,,,,,,,"Carrier Linguistic Committee",,"Plants of Carrier Country",,,1973
135,ahj81,article,"Arnason, Thor, Richard J. Hebda and Timothy Johns, 1981, Use of Plants for Food and Medicine by Native Peoples of Eastern Canada, Canadian Journal of Botany 59(11):2189-2325",,"Arnason, Thor and Richard J. Hebda and Timothy Johns",,,,,"Canadian Journal of Botany",,,11,2189-2325,,,"Use of Plants for Food and Medicine by Native Peoples of Eastern Canada",,59,1981
136,r91,article,"Rea, Amadeo M., 1991, Gila River Pima Dietary Reconstruction, Arid Lands Newsletter 31:3-10",,"Rea, Amadeo M.",,,,,"Arid Lands Newsletter",,,,3-10,,,"Gila River Pima Dietary Reconstruction",,31,1991
137,v38,article,"Voegelin, Ermine W., 1938, Tubatulabal Ethnography, Anthropological Records 2(1):1-84",,"Voegelin, Ermine W.",,,,,"Anthropological Records",,,1,1-84,,,"Tubatulabal Ethnography",,2,1938
138,c51,article,"Campbell, T.N., 1951, Medicinal Plants Used by Choctaw, Chickasaw, and Creek Indians in the Early Nineteenth Century, Journal of the Washington Academy of Sciences 41(9):285-290",,"Campbell, T. N.",,,,,"Journal of the Washington Academy of Sciences",,,9,285-290,,,"Medicinal Plants Used by Choctaw, Chickasaw, and Creek Indians in the Early Nineteenth Century",,41,1951
139,n66,article,"Nickerson, Gifford S., 1966, Some Data on Plains and Great Basin Indian Uses of Certain Native Plants, Tebiwa 9(1):45-51",,"Nickerson, Gifford S.",,,,,Tebiwa,,,1,45-51,,,"Some Data on Plains and Great Basin Indian Uses of Certain Native Plants",,9,1966
140,vs39,book,"Vestal, Paul A. and Richard Evans Schultes, 1939, The Economic Botany of the Kiowa Indians, Cambridge MA. Botanical Museum of Harvard University","Cambridge MA","Vestal, Paul A. and Richard Evans Schultes",,,,,,,,,,"Botanical Museum of Harvard University",,"The Economic Botany of the Kiowa Indians",,,1939
141,h56,article,"Hocking, George M., 1956, Some Plant Materials Used Medicinally and Otherwise by the Navaho Indians in the Chaco Canyon, New Mexico, El Palacio 56:146-165",,"Hocking, George M.",,,,,"El Palacio",,,,146-165,,,"Some Plant Materials Used Medicinally and Otherwise by the Navaho Indians in the Chaco Canyon, New Mexico",,56,1956
142,c09,article,"Chamberlin, Ralph V., 1909, Some Plant Names of the Ute Indians, American Anthropologist 11:27-40",,"Chamberlin, Ralph V.",,,,,"American Anthropologist",,,,27-40,,,"Some Plant Names of the Ute Indians",,11,1909
143,j68,article,"Jones, David E., 1968, Comanche Plant Medicine, Papers in Anthropology 9:1-13",,"Jones, David E.",,,,,"Papers in Anthropology",,,,1-13,,,"Comanche Plant Medicine",,9,1968
144,teit28,article,"Teit, James A., 1928, The Salishan Tribes of the Western Plateaus, SI-BAE Annual Report #45",,"Teit, James A.",,,,,"SI-BAE Annual Report",,,,,,,"The Salishan Tribes of the Western Plateaus",,45,1928
145,b41,article,"Beardsley, Gretchen, 1941, Notes on Cree Medicines, Based on Collections Made by I. Cowie in 1892., Papers of the Michigan Academy of Science, Arts and Letters 28:483-496",,"Beardsley, Gretchen",,,,,"Papers of the Michigan Academy of Science, Arts and Letters",,,,483-496,,,"Notes on Cree Medicines, Based on Collections Made by I. Cowie in 1892",,28,1941
146,j87,book,"Johnston, Alex, 1987, Plants and the Blackfoot, Lethbridge, Alberta. Lethbridge Historical Society","Lethbridge, Alberta","Johnston, Alex",,,,,,,,,,"Lethbridge Historical Society",,"Plants and the Blackfoot",,,1987
147,cj40,article,"Carlson, Gustav G. and Volney H. Jones, 1940, Some Notes on Uses of Plants by the Comanche Indians, Papers of the Michigan Academy of  Science, Arts and Letters 25:517-542",,"Carlson, Gustav G. and Volney H. Jones",,,,,"Papers of the Michigan Academy of Science, Arts and Letters",,,,517-542,,,"Some Notes on Uses of Plants by the Comanche Indians",,25,1940
148,b66,book,"Boas, Franz, 1966, Kwakiutl Ethnography, Chicago. University of Chicago Press",Chicago,"Boas, Franz",,,,,,,,,,"University of Chicago Press",,"Kwakiutl Ethnography,",,,1966
149,h46,article,"Holt, Catharine, 1946, Shasta Ethnography, Anthropological Records 3(4):308",,"Holt, Catharine",,,,,"Anthropological Records",,308,,4,,,"Shasta Ethnography",,3,1946
150,r46,article,"Rousseau, Jacques, 1946, Notes Sur L'ethnobotanique D'anticosti, Archives de Folklore 1:60-71",,"Rousseau, Jacques",,,,,"Archives de Folklore",,,,60-71,,,"Notes Sur L'ethnobotanique D'anticosti",,1,1946
151,cb37,article,"Castetter, Edward F. and Willis H. Bell, 1937, Ethnobiological Studies in the American Southwest IV. The Aboriginal Utilization of the Tall Cacti in the American South, University of New Mexico Bulletin 5:1-48",,"Castetter, Edward F. and Willis H. Bell",,,,,"University of New Mexico Bulletin",,,,1-48,,,"Ethnobiological Studies in the American Southwest IV. The Aboriginal Utilization of the Tall Cacti in the American South",,5,1937
152,aa80,article,"Ager, Thomas A. and Lynn Price Ager, 1980, Ethnobotany of The Eskimos of Nelson Island, Alaska, Arctic Anthropology 27:26-48",,"Ager, Thomas A. and Lynn Price Ager",,,,,"Arctic Anthropology",,,,26-48,,,"Ethnobotany of The Eskimos of Nelson Island, Alaska",,27,1980
153,k32,article,"Kelly, Isabel T., 1932, Ethnography of the Surprise Valley Paiute, University of California Publications in American Archaeology and Ethnology 31(3):67-210",,"Kelly, Isabel T.",,,,,"University of California Publications in American Archaeology and Ethnology",,,3,67-210,,,"Ethnography of the Surprise Valley Paiute",,31,1932
154,g13ii,article,"Gilmore, Melvin R., 1913, A Study in the Ethnobotany of the Omaha Indians, Nebraska State Historical Society Collections 17:314-57.",,"Gilmore, Melvin R.",,,,,"Nebraska State Historical Society Collections",,,,314-57,,,"A Study in the Ethnobotany of the Omaha Indians",,17,1913
155,w22,article,"Wallis, Wilson D., 1922, Medicines Used by the Micmac Indians, American Anthropologist 24:24-30",,"Wallis, Wilson D.",,,,,"American Anthropologist",,,,24-30,,,"Medicines Used by the Micmac Indians",,24,1922
156,k90,mastersthesis,"Kraft, Shelly Katheren, 1990, Recent Changes in the Ethnobotany of Standing Rock Indian Reservation, University of North Dakota, M.A. Thesis",,"Kraft, Shelly Katheren",,,,,,,,,,,"University of North Dakota","Recent Changes in the Ethnobotany of Standing Rock Indian Reservation",,,1990
157,cb80,article,"Camazine, Scott and Robert A. Bye, 1980, A Study Of The Medical Ethnobotany Of The Zuni Indians of New Mexico, Journal of Ethnopharmacology 2:365-388",,"Camazine, Scott and Robert A. Bye",,,,,"Journal of Ethnopharmacology",,,,365-388,,,"A Study Of The Medical Ethnobotany Of The Zuni Indians of New Mexico",,2,1980
158,n83,book,"Nelson, Richard K., 1983, Make Prayers to the Raven--A Koyukon View of the Northern Forest, Chicago. The University of Chicago Press",Chicago,"Nelson, Richard K.",,,,,,,,,,"The University of Chicago Press",,"Make Prayers to the Raven--A Koyukon View of the Northern Forest",,,1983
159,w62,article,"White, Leslie A., 1962, The Pueblo of Sia, New Mexico, XXX SI-BAE  Bulletin #",,"White, Leslie A.",,,,,"SI-BAE Bulletin",,,,,,,"The Pueblo of Sia, New Mexico",,,1962
160,cb42,book,"Castetter, Edward F. and Willis H. Bell, 1942, Pima and Papago Indian Agriculture, Albuquerque: University of New Mexico Press.  First Edition.",Albuquerque,"Castetter, Edward F. and Willis H. Bell",,,First,,,,,,,"University of New Mexico Press",,"Pima and Papago Indian Agriculture",,,1942
161,w77,article,"Witthoft, John, 1977, Cherokee Indian Use of Potherbs, Journal of Cherokee Studies 2(2):250-255",,"Witthoft, John",,,,,"Journal of Cherokee Studies",,,2,250-255,,,"Cherokee Indian Use of Potherbs",,2,1977
162,sk58,article,"Swartz, Jr., B. K., 1958, A Study of Material Aspects of Northeastern Maidu Basketry, Kroeber Anthropological Society Publications 19:67-84",,"Swartz, Jr., B. K.",,,,,"Kroeber Anthropological Society Publications",,,,67-84,,,"A Study of Material Aspects of Northeastern Maidu Basketry",,19,1958
163,k52,article,"Kirk, R.E., 1952, Panamint Basketry, Masterkey 26(76-86):",,"Kirk, R. E.",,,,,Masterkey,,,,76-86,,,"Panamint Basketry",,26,1952
164,spier28,article,"Spier, Leslie, 1928, Havasupai Ethnography, Anthropological Papers of the American Museum of Natural History 29(3):101-123, 284-285",,"Spier, Leslie",,,,,"Anthropological Papers of the American Museum of Natural History",,,3,"101-123, 284-285",,,"Havasupai Ethnography",,29,1928
165,ga88,article,"Gottesfeld, Leslie M. J. and Beverley Anderson, 1988, Gitksan Traditional Medicine: Herbs And Healing, Journal of Ethnobiology 8(1):13-33",,"Gottesfeld, Leslie M. J. and Beverley Anderson",,,,,"Journal of Ethnobiology",,,1,13-33,,,"Gitksan Traditional Medicine: Herbs And Healing",,8,1988
166,g92,article,"Gottesfeld, Leslie M. J., 1992, The Importance of Bark Products in the Aboriginal Economies of Northwestern British Columbia, Canada, Economic Botany 46(2):148-157",,"Gottesfeld, Leslie M. J.",,,,,"Economic Botany",,,2,148-157,,,"The Importance of Bark Products in the Aboriginal Economies of Northwestern British Columbia, Canada",,46,1992
167,a39,article,"Anderson, J. P., 1939, Plants Used by the Eskimo of the Northern Bering Sea and Arctic Regions of Alaska, American Journal of Botany 26:714-16",,"Anderson, J. P.",,,,,"American Journal of Botany",,,,714-16,,,"Plants Used by the Eskimo of the Northern Bering Sea and Arctic Regions of Alaska",,26,1939
168,b67,book,"Barrows, David Prescott, 1967, The Ethno-Botany of the Coahuilla Indians of Southern California, Banning CA. Malki Museum Press. Originally Published 1900","Banning CA","Barrows, David Prescott",,,,,,,"Originally Published 1900",,,"Malki Museum Press",,"The Ethno-Botany of the Coahuilla Indians of Southern California",,,1967
169,s69,book,"Swan, James Gilchrist, 1869, The Indians of Cape Flattery ... Washington Territory, Washington, DC. Smithsonian Institution","Washington, DC","Swan, James Gilchrist",,,,,,,,,,"Smithsonian Institution",,"The Indians of Cape Flattery ...Washington Territory",,,1869
170,j35,article,"Jenness, Diamond, 1935, The Ojibwa Indians of Parry Island, Their Social and Religious Life, National Museums of Canada Bulletin #78, Anthropological Series #17",,"Jenness, Diamond",,"Anthropological Series #17",,,"National Museums of Canada Bulletin",,,,,,,"The Ojibwa Indians of Parry Island Their Social and Religious Life",,78,1935
171,p53,article,"Porsild, A.E., 1953, Edible Plants of the Arctic, Arctic 6:15-34",,"Porsild, A. E.",,,,,Arctic,,,,15-34,,,"Edible Plants of the Arctic",,6,1953
172,g74,book,"Guedon, Marie-Francoise, 1974, People Of Tetlin, Why Are You Singing?, Ottawa. National Museums of Canada.  Mercury Series Number 9",Ottawa,"Guedon, Marie-Francoise",,,,,,,"Mercury Series Number 9",,,"National Museums of Canada",,"People Of Tetlin, Why Are You Singing?",,,1974
173,s30,article,"Spier, Leslie, 1930, Klamath Ethnography, University of California Publications in American Archaeology and Ethnology 30:1-338",,"Spier, Leslie",,,,,"University of California Publications in American Archaeology and Ethnology",,,,1-338,,,"Klamath Ethnography",,30,1930
174,h08,article,"Hrdlicka, Ales, 1908, Physiological and Medical Observations Among the Indians of Southwestern United States and Northern Mexico, SI-BAE Bulletin #34:1-427",,"Hrdlicka, Ales",,,,,"SI-BAE Bulletin",,,,1-427,,,"Physiological and Medical Observations Among the Indians of Southwestern United States and Northern Mexico",,34,1908
175,d13,article,"Densmore, Frances, 1913, Chippewa Music-II, SI-BAE Bulletin #53",,"Densmore, Frances",,,,,"SI-BAE Bulletin",,,,,,,"Chippewa Music-II",,53,1913
176,d32,article,"Densmore, Francis, 1932, Menominee Music, SI-BAE Bulletin #102",,"Densmore, Francis",,,,,"SI-BAE Bulletin",,,,,,,"Menominee Music",,102,1932
177,l59,article,"Lantis, Margaret, 1959, Folk Medicine and Hygiene, Anthropological Papers of the University of Alaska 8:1-75",,"Lantis, Margaret",,,,,"Anthropological Papers of the University of Alaska",,,,1-75,,,"Folk Medicine and Hygiene",,8,1959
178,giff33,article,"Gifford, E. W., 1933, The Cocopa, University of California Publications in American Archaeology and Ethnology 31:263-270",,"Gifford, E. W.",,,,,"University of California Publications in American Archaeology and Ethnology",,,,263-270,,,"The Cocopa",,31,1933
179,b08,article,"Barrett, S. A., 1908, Pomo Indian Basketry, University of California Publications in American Archaeology and Ethnology 7:134-308",,"Barrett, S. A.",,,,,"University of California Publications in American Archaeology and Ethnology",,,,134-308,,,"Pomo Indian Basketry",,7,1908
180,g31,book,"Gifford, E. W., 1931, The Kamia of Imperial Valley, Washington, D.C. U.S. Government Printing Office","Washington, DC","Gifford, E. W.",,,,,,,,,,"U.S. Government Printing Office",,"The Kamia of Imperial Valley",,,1931
181,ss43,article,"Sapir, Edward and Leslie Spier, 1943, Notes on the Culture of the Yana, Anthropological Records 3(3):252-253",,"Sapir, Edward and Leslie Spier",,,,,"Anthropological Records",,,3,252-253,,,"Notes on the Culture of the Yana",,3,1943
182,sd51,article,"Speck, Frank G. and R.W. Dexter, 1951, Utilization of Animals and Plants by the Micmac Indians of New Brunswick, Journal of the Washington Academy of Sciences 41:250-259",,"Speck, Frank G. and R. W. Dexter",,,,,"Journal of the Washington Academy of Sciences",,,,250-259,,,"Utilization of Animals and Plants by the Micmac Indians of New Brunswick",,41,1951
183,m03,book,"Malo, David, 1903, Hawaiian Antiquities, Honolulu. Hawaiian Gazette Co., Ltd.",Honolulu,"Malo, David",,,,,,,,,,"Hawaiian Gazette Co, Ltd",,"Hawaiian Antiquities",,,1903
184,n43,article,"Nequatewa, Edmund, 1943, Some Hopi Recipes for the Preparation of Wild Plant Foods, Plateau 18:18-20",,"Nequatewa, Edmund",,,,,Plateau,,,,18-20,,,"Some Hopi Recipes for the Preparation of Wild Plant Foods",,18,1943
185,mckenn59,article,"McKennan, Robert A., 1959, The Upper Tanana Indians, Yale University Publications in Anthropology, No. 55",,"McKennan, Robert A.",,,,,"Yale University Publications in Anthropology",,,,,,,"The Upper Tanana Indians",,55,1959
186,c04,book,"Coville, Frederick V., 1904, Wokas, a Primitive Food of the Klamath Indians., Smithsonian Institution, US. National Museum.",,"Coville, Frederick V.",,,,,,,,,,"Smithsonian Institution, US. National Museum",,"Wokas, a Primitive Food of the Klamath Indians",,,1904
187,o57,article,"Oswalt, W. H., 1957, A Western Eskimo Ethnobotany, Anthropological Papers of the University of Alaska 6:17-36",,"Oswalt, W. H.",,,,,"Anthropological Papers of the University of Alaska",,,,17-36,,,"A Western Eskimo Ethnobotany",,6,1957
188,r48,article,"Rousseau, Jacques, 1948, Ethnobotanique Et Ethnozoologie Gaspesiennes, Archives de Folklore 3:51-64",,"Rousseau, Jacques",,,,,"Archives de Folklore",,,,51-64,,,"Ethnobotanique Et Ethnozoologie Gaspesiennes",,3,1948
189,h65,article,"Howard, James, 1965, The Ponca Tribe, SI-BAE Bulletin #195",,"Howard, James",,,,,"SI-BAE Bulletin",,,,,,,"The Ponca Tribe",,195,1965
190,d18,article,"Densmore, Frances, 1918, Teton Sioux Music, SI-BAE Bulletin #61",,"Densmore, Frances",,,,,"SI-BAE Bulletin",,,,,,,"Teton Sioux Music",,61,1918
191,j38,article,"Jones, Volney H., 1938, An Ancient Food Plant of the Southwest and Plateau Regions, El Palacio 44:41-53",,"Jones, Volney H.",,,,,"El Palacio",,,,41-53,,,"An Ancient Food Plant of the Southwest and Plateau Regions",,44,1938
192,t90,article,"Turner, Lucien M., 1890, Ethnology of the Ungava District, Hudson Bay Territory, SI-BAE Annual Report #11:159-350",,"Turner, Lucien M.",,,,,"SI-BAE Annual Report",,,,159-350,,,"Ethnology of the Ungava District, Hudson Bay Territory",,11,1890
193,ven40,book,"Veniamenov, I., 1840, Notes on the Islands in the Unalaska District, St. Petersburg -- Translated by HRAF",,"Veniamenov, I.",,,,,,,"Translated by HRAF",,,,,"Notes on the Islands in the Unalaska District, St. Petersburg",,,1840
194,bt51,article,"Bank, II, Theodore P., 1951, Botanical and Ethnobotanical Studies in the Aleutian Islands  I. Aleutian Vegetation and Aleut Culture, Botanical and Ethnobotanical Studies Papers, Michigan Academy of Science, Arts and Letters",,"Bank, I. I. and Theodore, P.",,,,,"Botanical and Ethnobotanical Studies Papers, Michigan Academy of Science, Arts and Letters",,,,,,,"Botanical and Ethnobotanical Studies in the Aleutian Islands I. Aleutian Vegetation and Aleut Culture",,,1951
195,b65,article,"Brugge, David M., 1965, Navajo Use of Agave, Kiva 31(2):88-98",,"Brugge, David M.",,,,,Kiva,,,2,88-98,,,"Navajo Use of Agave",,31,1965
196,s65,article,"Stewart, Kenneth M., 1965, Mohave Indian Gathering of Wild Plants, Kiva 31(1):46-53",,"Stewart, Kenneth M.",,,,,Kiva,,,1,46-53,,,"Mohave Indian Gathering of Wild Plants",,31,1965
197,hann86,article,"Hann, John H., 1986, The Use and Processing of Plants by Indians of Spanish Florida, Southeastern Archaeology 5(2):1-102",,"Hann, John H.",,,,,"Southeastern Archaeology",,,2,1-102,,,"The Use and Processing of Plants by Indians of Spanish Florida",,5,1986
