id,name,common_names,usda_code,family,family_apg
840,"Cercocarpus intricatus S. Wats.","Littleleaf Mountain Mahogany",CEIN7,Rosaceae,Rosaceae
841,"Cercocarpus ledifolius Nutt.","Curlleaf Mountain Mahogany",CELEL,Rosaceae,Rosaceae
842,"Cercocarpus montanus Raf.","True Mountain Mahogany",CEMOM4,Rosaceae,Rosaceae
843,"Cercocarpus montanus var. glaber (S. Wats.) F.L. Martin","Birchleaf Mountain Mahogany",CEMOG,Rosaceae,Rosaceae
844,"Cercocarpus sp.","Mountain Mahogany","",Rosaceae,Rosaceae
845,"Cereus sp.","","",Cactaceae,Cactaceae
846,"Cetraria crispa (Ach.) Nyl.","Shield Lichen","",Parmeliaceae,""
847,"Cetraria cucullata (Bellard) Ach.","Curled Shield Lichen","",Parmeliaceae,""
848,"Chaenactis douglasii (Hook.) Hook. & Arn.","Douglas' Dustymaiden",CHDOD,Asteraceae,Asteraceae
849,"Chaenactis douglasii var. douglasii","Douglas' Dustymaiden",CHDOD,Asteraceae,Asteraceae
850,"Chaenactis glabriuscula DC.","Yellow Chaenactis",CHGLG2,Asteraceae,Asteraceae
851,"Chaenactis santolinoides Greene","Santolina Pincushion",CHSA,Asteraceae,Asteraceae
852,"Chaenactis stevioides Hook. & Arn.","Steve's Dustymaiden",CHST,Asteraceae,Asteraceae
853,"Chaerophyllum procumbens (L.) Crantz","Spreading Chervil",CHPRP,Apiaceae,Apiaceae
854,"Chaetopappa ericoides (Torr.) Nesom","Rose Heath",CHER2,Asteraceae,Asteraceae
855,"Chamaebatia foliolosa Benth.","Sierran Mountain Misery",CHFO,Rosaceae,Rosaceae
856,"Chamaebatiaria millefolium (Torr.) Maxim.",Fernbush,CHMI2,Rosaceae,Rosaceae
857,"Chamaecrista fasciculata (Michx.) Greene",Sleepingplant,CHFAF,Fabaceae,Fabaceae
858,"Chamaecrista nictitans ssp. nictitans var. nictitans","Partridge Pea",CHNIN2,Fabaceae,Fabaceae
859,"Chamaecyparis lawsoniana (A. Murr.) Parl.","Port Orford Cedar",CHLA,Cupressaceae,Cupressaceae
860,"Chamaecyparis nootkatensis (D. Don) Spach","Alaska Cedar",CHNO,Cupressaceae,Cupressaceae
861,"Chamaecyparis thyoides (L.) B.S.P.","Atlantic White Cedar",CHTH2,Cupressaceae,Cupressaceae
862,"Chamaedaphne calyculata (L.) Moench",Leatherleaf,CHCA2,Ericaceae,Ericaceae
863,"Chamaemelum nobile (L.) All.","Garden Dogfennel",CHNO3,Asteraceae,Asteraceae
864,"Chamaesaracha coronopus (Dunal) Gray","Greenleaf Five Eyes",CHCO2,Solanaceae,Solanaceae
865,"Chamaesyce albomarginata (Torr. & Gray) Small","Whitemargin Sandmat",CHAL11,Euphorbiaceae,Euphorbiaceae
866,"Chamaesyce fendleri (Torr. & Gray) Small","Fendler's Sandmat",CHFE3,Euphorbiaceae,Euphorbiaceae
867,"Chamaesyce geyeri (Engelm.) Small","Geyer's Sandmat",CHGEG,Euphorbiaceae,Euphorbiaceae
868,"Chamaesyce glyptosperma (Engelm.) Small","Ribseed Sandmat",CHGL13,Euphorbiaceae,Euphorbiaceae
869,"Chamaesyce hypericifolia (L.) Millsp.","Graceful Sandmat",CHHY2,Euphorbiaceae,Euphorbiaceae
870,"Chamaesyce lata (Engelm.) Small","Hoary Sandmat",CHLA10,Euphorbiaceae,Euphorbiaceae
871,"Chamaesyce maculata (L.) Small","Spotted Sandmat",CHNU9,Euphorbiaceae,Euphorbiaceae
872,"Chamaesyce melanadenia (Torr.) Millsp.","Squaw Sandmat",CHME5,Euphorbiaceae,Euphorbiaceae
873,"Chamaesyce multiformis var. multiformis","Variable Sandmat",CHMUM2,Euphorbiaceae,Euphorbiaceae
874,"Chamaesyce nutans (Lag.) Small",Eyebane,CHNU9,Euphorbiaceae,Euphorbiaceae
875,"Chamaesyce ocellata ssp. arenicola (Parish) Thorne","Contura Creek Sandmat",CHOCA,Euphorbiaceae,Euphorbiaceae
876,"Chamaesyce ocellata ssp. ocellata","Contura Creek Sandmat",CHOCO,Euphorbiaceae,Euphorbiaceae
877,"Chamaesyce polycarpa (Benth.) Millsp. ex Parish","Smallseed Sandmat",CHPO12,Euphorbiaceae,Euphorbiaceae
878,"Chamaesyce revoluta (Engelm.) Small","Threadstem Sandmat",CHRE4,Euphorbiaceae,Euphorbiaceae
879,"Chamaesyce serpyllifolia (Pers.) Small","Thymeleaf Sandmat",CHSES,Euphorbiaceae,Euphorbiaceae
880,"Chamaesyce serpyllifolia ssp. serpyllifolia","Thymeleaf Sandmat",CHSES,Euphorbiaceae,Euphorbiaceae
881,"Chamerion angustifolium (L.) Holub",Fireweed,CHANA2,Onagraceae,Onagraceae
882,"Chamerion angustifolium ssp. angustifolium",Fireweed,CHANA2,Onagraceae,Onagraceae
883,"Chamerion angustifolium ssp. circumvagum (Mosquin) Kartesz",Fireweed,CHANC,Onagraceae,Onagraceae
884,"Chamerion latifolium (L.) Holub","Dwarf Fireweed",CHLA13,Onagraceae,Onagraceae
885,"Chaptalia tomentosa Vent.","Woolly Sunbonnets",CHTO,Asteraceae,Asteraceae
886,"Chasmanthium latifolium (Michx.) Yates","Indian Woodoats",CHLA5,Poaceae,Poaceae
887,"Cheilanthes covillei Maxon","Coville's Lipfern",CHCO4,Pteridaceae,""
888,"Cheilanthes fendleri Hook.","Fendler's Lipfern",CHFE2,Pteridaceae,""
889,"Cheilanthes wootonii Maxon","Beaded Lipfern",CHWO,Pteridaceae,""
890,"Cheirodendron gaudicchaudii",Olapa,"",Araliaceae,Araliaceae
891,"Chelidonium majus L.","Greater Celandine",CHMAM,Papaveraceae,Papaveraceae
892,"Chelone glabra L.","White Turtlehead",CHGL2,Scrophulariaceae,Orobanchaceae
893,"Chelone sp.","Deer Tongue","",Scrophulariaceae,Orobanchaceae
894,"Chenopodium album L.",Lambsquarters,CHALA,Chenopodiaceae,Amaranthaceae
895,"Chenopodium ambrosioides L.","Mexican Tea",CHAMA16,Chenopodiaceae,Amaranthaceae
896,"Chenopodium botrys L.","Jerusalem Oak Goosefoot",CHBO2,Chenopodiaceae,Amaranthaceae
897,"Chenopodium californicum (S. Wats.) S. Wats.","California Goosefoot",CHCA3,Chenopodiaceae,Amaranthaceae
898,"Chenopodium capitatum (L.) Ambrosi","Blite Goosefoot",CHCA4,Chenopodiaceae,Amaranthaceae
899,"Chenopodium fremontii S. Wats.","Fremont's Goosefoot",CHFRF,Chenopodiaceae,Amaranthaceae
900,"Chenopodium graveolens Willd.","Fetid Goosefoot",CHGR2,Chenopodiaceae,Amaranthaceae
901,"Chenopodium humile Hook.","Marshland Goosefoot",CHCH,Chenopodiaceae,Amaranthaceae
902,"Chenopodium incanum (S. Wats.) Heller","Mealy Goosefoot",CHINI,Chenopodiaceae,Amaranthaceae
903,"Chenopodium leptophyllum (Moq.) Nutt. ex S. Wats.","Narrowleaf Goosefoot",CHLE4,Chenopodiaceae,Amaranthaceae
904,"Chenopodium murale L.","Nettleleaf Goosefoot",CHMU2,Chenopodiaceae,Amaranthaceae
905,"Chenopodium nevadense Standl.","Nevada Goosefoot",CHNE4,Chenopodiaceae,Amaranthaceae
906,"Chenopodium oahuense (Meyen) Aellen",Alaweo,CHOA,Chenopodiaceae,Amaranthaceae
907,"Chenopodium pratericola Rydb.","Desert Goosefoot",CHPR5,Chenopodiaceae,Amaranthaceae
908,"Chenopodium pumilio R. Br.","Tasmanian Goosefoot",CHPU,Chenopodiaceae,Amaranthaceae
909,"Chenopodium rubrum L.","Red Goosefoot",CHRU,Chenopodiaceae,Amaranthaceae
910,"Chenopodium sp.",Goosefoot,"",Chenopodiaceae,Amaranthaceae
911,"Chenopodium watsonii A. Nels.","Watson's Goosefoot",CHWA,Chenopodiaceae,Amaranthaceae
912,"Chilopsis linearis (Cav.) Sweet","Desert Willow",CHLIL2,Bignoniaceae,Bignoniaceae
913,"Chimaphila maculata (L.) Pursh","Striped Prince's Pine",CHMA3,Ericaceae,Ericaceae
914,"Chimaphila menziesii (R. Br. ex D. Don) Spreng.","Little Prince's Pine",CHME,Ericaceae,Ericaceae
915,"Chimaphila umbellata (L.) W. Bart.",Pipsissewa,CHUMC2,Ericaceae,Ericaceae
916,"Chimaphila umbellata ssp. cisatlantica (Blake) Hult‚n",Pipsissewa,CHUMC2,Ericaceae,Ericaceae
917,"Chimaphila umbellata ssp. occidentalis (Rydb.) Hult‚n",Pipsissewa,CHUMO2,Ericaceae,Ericaceae
918,"Chionanthus virginicus L.","White Fringetree",CHVI3,Oleaceae,Oleaceae
919,"Chloracantha spinosa (Benth.) Nesom","Spiny Chloracantha",CHSP11,Asteraceae,Asteraceae
920,"Chlorogalum angustifolium Kellogg","Narrowleaf Soapplant",CHAN2,Liliaceae,Nartheciaceae
921,"Chlorogalum parviflorum S. Wats.","Smallflower Soapplant",CHPA7,Liliaceae,Nartheciaceae
922,"Chlorogalum pomeridianum (DC.) Kunth","Wavyleaf Soapplant",CHPOP4,Liliaceae,Nartheciaceae
923,"Chlorogalum pomeridianum var. divaricatum (Lindl.) Hoover","Wavyleaf Soapplant",CHPOD,Liliaceae,Nartheciaceae
924,"Chlorogalum sp.",Soaproot,"",Liliaceae,Nartheciaceae
925,"Chorizanthe staticoides Benth.","Turkish Rugging",CHST4,Polygonaceae,Polygonaceae
926,"Chrysobalanus icaco L.","Icaco Coco Plum",CHIC,Chrysobalanaceae,Chrysobalanaceae
927,"Chrysobotrya odorata (Wendl.) Cockerell","Buffalo Currant","",Grossulariaceae,Grossulariaceae
928,"Chrysolepis chrysophylla var. chrysophylla","Golden Chinkapin",CHCHC4,Fagaceae,Fagaceae
929,"Chrysolepis sempervirens (Kellogg) Hjelmqvist","Sierran Chinkapin",CHSE11,Fagaceae,Fagaceae
930,"Chrysophyllum oliviforme L.",Satinleaf,CHOL,Sapotaceae,Sapotaceae
931,"Chrysopsis mariana (L.) Ell.","Maryland Goldenaster",CHMA14,Asteraceae,Asteraceae
932,"Chrysothamnus depressus Nutt.","Longflower Rabbitbrush",CHDE2,Asteraceae,Asteraceae
933,"Chrysothamnus greenei (Gray) Greene","Greene's Rabbitbrush",CHGR6,Asteraceae,Asteraceae
934,"Chrysothamnus sp.","Rabbit Brush","",Asteraceae,Asteraceae
935,"Chrysothamnus viscidiflorus (Hook.) Nutt.","Green Rabbitbrush",CHVIA4,Asteraceae,Asteraceae
936,"Chrysothamnus viscidiflorus ssp. viscidiflorus var. stenophyllus (Gray) Hall","Green Rabbitbrush",CHVIS5,Asteraceae,Asteraceae
937,"Chrysothamnus viscidiflorus ssp. viscidiflorus var. viscidiflorus","Green Rabbitbrush",CHVIV4,Asteraceae,Asteraceae
938,"Cibotium chamissoi Kaulfuss","Chamisso's Manfern",CICH,Cyatheaceae,Dicksoniaceae
939,"Cicer arietinum L.","Chick Pea",CIAR5,Fabaceae,Fabaceae
940,"Cichorium intybus L.",Chicory,CIIN,Asteraceae,Asteraceae
941,"Cicuta douglasii (DC.) Coult. & Rose","Western Water Hemlock",CIDO,Apiaceae,Apiaceae
942,"Cicuta maculata L.","Spotted Water Hemlock",CIMAM,Apiaceae,Apiaceae
943,"Cicuta maculata var. angustifolia Hook.","Spotted Water Hemlock",CIMAA,Apiaceae,Apiaceae
944,"Cicuta maculata var. maculata","Spotted Water Hemlock",CIMAM,Apiaceae,Apiaceae
945,"Cicuta sp.","Water Hemlock","",Apiaceae,Apiaceae
946,"Cicuta virosa L.","Mackenzie's Water Hemlock",CIVI5,Apiaceae,Apiaceae
947,"Cinchona calisaya",Quinine,"",Rubiaceae,Rubiaceae
948,"Cinna arundinacea L.","Sweet Woodreed",CIAR2,Poaceae,Poaceae
949,"Circaea lutetiana ssp. canadensis (L.) Aschers. & Magnus","Broadleaf Enchanter's Nightsha",CILUC,Onagraceae,Onagraceae
950,"Cirsium altissimum (L.) Hill","Tall Thistle",CIAL2,Asteraceae,Asteraceae
951,"Cirsium arvense (L.) Scop.","Canadian Thistle",CIAR4,Asteraceae,Asteraceae
952,"Cirsium brevistylum Cronq.","Clustered Thistle",CIBR2,Asteraceae,Asteraceae
953,"Cirsium calcareum (M.E. Jones) Woot. & Standl.","Cainville Thistle",CICA10,Asteraceae,Asteraceae
954,"Cirsium congdonii Moore & Frankton","Rosette Thistle",CISC2,Asteraceae,Asteraceae
955,"Cirsium discolor (Muhl. ex Willd.) Spreng.","Field Thistle",CIDI,Asteraceae,Asteraceae
956,"Cirsium drummondii Torr. & Gray","Dwarf Thistle",CIDR2,Asteraceae,Asteraceae
957,"Cirsium eatonii (Gray) B.L. Robins.","Mountain Thistle",CIEA,Asteraceae,Asteraceae
958,"Cirsium edule Nutt.","Edible Thistle",CIED,Asteraceae,Asteraceae
959,"Cirsium hookerianum Nutt.","White Thistle",CIHO,Asteraceae,Asteraceae
960,"Cirsium horridulum Michx.","Yellow Thistle",CIHOH,Asteraceae,Asteraceae
961,"Cirsium neomexicanum Gray","New Mexico Thistle",CINE,Asteraceae,Asteraceae
962,"Cirsium occidentale (Nutt.) Jepson","Cobwebby Thistle",CIOCO,Asteraceae,Asteraceae
963,"Cirsium occidentale var. californicum (Gray) Keil & C. Turner","California Thistle",CIOCC4,Asteraceae,Asteraceae
964,"Cirsium ochrocentrum Gray","Yellowspine Thistle",CIOC2,Asteraceae,Asteraceae
965,"Cirsium pallidum Woot. & Standl.","Pale Thistle",CIPA5,Asteraceae,Asteraceae
966,"Cirsium parryi (Gray) Petrak","Parry's Thistle",CIPAP2,Asteraceae,Asteraceae
967,"Cirsium pastoris J.T. Howell","Snowy Thistle",CIPA2,Asteraceae,Asteraceae
968,"Cirsium remotifolium (Hook.) DC.","Fewleaf Thistle",CIRE,Asteraceae,Asteraceae
969,"Cirsium rothrockii (Gray) Petrak","Rothrock's Thistle",CIRO,Asteraceae,Asteraceae
970,"Cirsium scariosum Nutt.","Meadow Thistle",CISC2,Asteraceae,Asteraceae
971,"Cirsium sp.","","",Asteraceae,Asteraceae
972,"Cirsium tioganum var. tioganum","Tioga Thistle",CISC2,Asteraceae,Asteraceae
973,"Cirsium undulatum (Nutt.) Spreng.","Wavyleaf Thistle",CIUNU,Asteraceae,Asteraceae
974,"Cirsium undulatum var. undulatum","Wavyleaf Thistle",CIUNU,Asteraceae,Asteraceae
975,"Cirsium vulgare (Savi) Ten.","Bull Thistle",CIVU,Asteraceae,Asteraceae
976,"Cissus verticillata (L.) D.H. Nicols. & Jarvis",Seasonvine,CIVE3,Vitaceae,Vitaceae
977,"Cistanthe monandra (Nutt.) Hershkovitz","Common Pussypaws",CIMO4,Portulacaceae,Portulacaceae
978,"Citrullus lanatus (Thunb.) Matsumura & Nakai",Watermelon,CILAL,Cucurbitaceae,Cucurbitaceae
979,"Citrullus lanatus var. lanatus",Watermelon,CILAL,Cucurbitaceae,Cucurbitaceae
980,"Citrus ?paradisi Macfad. (pro sp.)  [maxima ? sinensis]","Paradise Citrus",CIPA3,Rutaceae,Rutaceae
981,"Citrus aurantifolia (Christm.) Swingle","Key Lime",CIAU,Rutaceae,Rutaceae
982,"Citrus aurantium L.","Sour Orange",CIAU2,Rutaceae,Rutaceae
983,"Citrus limon (L.) Burm. f.",Lemon,CILI,Rutaceae,Rutaceae
984,"Citrus medica L.",Citron,CIME3,Rutaceae,Rutaceae
985,"Citrus reticulata Blanco",Tangerine,CIRE3,Rutaceae,Rutaceae
986,"Citrus sinensis (L.) Osbeck","Sweet Orange",CISI,Rutaceae,Rutaceae
987,"Cladium mariscus ssp. jamaicense (Crantz) Kkenth.","Jamaica Swamp Sawgrass",CLMAJ,Cyperaceae,Cyperaceae
988,"Cladium sp.",Tulare,"",Cyperaceae,Cyperaceae
989,"Cladonia rangiferina","","",Cladoniaceae,""
990,"Cladrastis kentukea (Dum.-Cours.) Rudd","Kentucky Yellowwood",CLKE,Fabaceae,Fabaceae
991,"Clarkia amoena ssp. amoena","Farewell To Spring",CLAMA,Onagraceae,Onagraceae
992,"Clarkia biloba ssp. biloba","Twolobe Fairyfan",CLBIB2,Onagraceae,Onagraceae
993,"Clarkia purpurea ssp. quadrivulnera (Dougl. ex Lindl.) H.F. & M.E. Lewis","Winecup Fairyfan",CLPUQ,Onagraceae,Onagraceae
994,"Clarkia purpurea ssp. viminea (Dougl. ex Hook.) H.F. & M.E. Lewis","Winecup Fairyfan",CLPUV,Onagraceae,Onagraceae
995,"Clarkia rhomboidea Dougl. ex Hook.","Diamond Fairyfan",CLRH,Onagraceae,Onagraceae
996,"Clarkia unguiculata Lindl.","Elegant Fairyfan",CLUN,Onagraceae,Onagraceae
997,"Claytonia acutifolia Pallas ex J.A. Schultes","Bering Sea Springbeauty",CLES,Portulacaceae,Portulacaceae
998,"Claytonia caroliniana Michx.","Carolina Springbeauty",CLCAC,Portulacaceae,Portulacaceae
999,"Claytonia cordifolia S. Wats.","Heartleaf Springbeauty",CLCO3,Portulacaceae,Portulacaceae
1000,"Claytonia exigua Torr. & Gray","Pale Springbeauty",CLEXE2,Portulacaceae,Portulacaceae
1001,"Claytonia lanceolata Pall. ex Pursh","Lanceleaf Springbeauty",CLLAL,Portulacaceae,Portulacaceae
1002,"Claytonia lanceolata var. sessilifolia (Torr.) A. Nels.","Lanceleaf Springbeauty",CLLAS,Portulacaceae,Portulacaceae
1003,"Claytonia multicaulis Nelson","Ground Nut","",Portulacaceae,Portulacaceae
1004,"Claytonia parviflora Dougl. ex Hook.","Streambank Springbeauty",CLPAP,Portulacaceae,Portulacaceae
1005,"Claytonia perfoliata Donn ex Willd.","Miner's Lettuce",CLPEP,Portulacaceae,Portulacaceae
1006,"Claytonia perfoliata ssp. perfoliata","Miner's Lettuce",CLPEP,Portulacaceae,Portulacaceae
1007,"Claytonia sibirica L.","Siberian Springbeauty",CLSIS,Portulacaceae,Portulacaceae
1008,"Claytonia sibirica var. sibirica","Siberian Springbeauty",CLSIS,Portulacaceae,Portulacaceae
1009,"Claytonia sp.","","",Portulacaceae,Portulacaceae
1010,"Claytonia tuberosa Pallas ex J.A. Schultes","Tuberous Springbeauty",CLTUT,Portulacaceae,Portulacaceae
1011,"Claytonia umbellata S. Wats.","Great Basin Springbeauty",CLUM,Portulacaceae,Portulacaceae
1012,"Claytonia virginica L.","Virginia Springbeauty",CLVIV,Portulacaceae,Portulacaceae
1013,"Clematis baldwinii var. baldwinii","Baldwin's Clematis",CLBAB,Ranunculaceae,Ranunculaceae
1014,"Clematis bigelovii Torr.","Bigelow's Leather Flower",CLBI2,Ranunculaceae,Ranunculaceae
1015,"Clematis columbiana (Nutt.) Torr. & Gray","Rock Clematis",CLCOC2,Ranunculaceae,Ranunculaceae
1016,"Clematis columbiana var. columbiana","Rock Clematis",CLCOC2,Ranunculaceae,Ranunculaceae
1017,"Clematis hirsutissima Pursh","Hairy Clematis",CLHIH,Ranunculaceae,Ranunculaceae
1018,"Clematis lasiantha Nutt.","Pipestem Clematis",CLLA3,Ranunculaceae,Ranunculaceae
1019,"Clematis ligusticifolia Nutt.","Western White Clematis",CLLIL2,Ranunculaceae,Ranunculaceae
1020,"Clematis occidentalis var. occidentalis","Western Blue Virginsbower",CLOCO,Ranunculaceae,Ranunculaceae
1021,"Clematis viorna L.",Vasevine,CLVI4,Ranunculaceae,Ranunculaceae
1022,"Clematis virginiana L.","Devil's Darning Needles",CLVI5,Ranunculaceae,Ranunculaceae
1023,"Cleome isomeris Greene","Bladderpod Spiderflower",CLIS,Capparaceae,Cleomaceae
1024,"Cleome lutea Hook.","Yellow Spiderflower",CLLUL,Capparaceae,Cleomaceae
1025,"Cleome multicaulis DC.","Slender Spiderflower",CLMU,Capparaceae,Cleomaceae
1026,"Cleome serrulata Pursh","Rocky Mountain Beeplant",CLSE,Capparaceae,Cleomaceae
1027,"Clermontia arborescens (Mann) Hbd.","'oha Wai Nui",CLARA,Campanulaceae,Campanulaceae
1028,"Clethra acuminata Michx.","Mountain Sweetpepperbush",CLAC3,Clethraceae,Clethraceae
1029,"Clinopodium douglasii (Benth.) Kuntze","Yerba Buena",CLDO2,Lamiaceae,Lamiaceae
1030,"Clintonia andrewsiana Torr.","Western Bluebeadlily",CLAN2,Liliaceae,Nartheciaceae
1031,"Clintonia borealis (Ait.) Raf.","Yellow Bluebeadlily",CLBO3,Liliaceae,Nartheciaceae
1032,"Clintonia umbellulata (Michx.) Morong","White Bluebeadlily",CLUM2,Liliaceae,Nartheciaceae
1033,"Clintonia uniflora (Menzies ex J.A. & J.H. Schultes) Kunth","Bride's Bonnet",CLUN2,Liliaceae,Nartheciaceae
1034,"Clitoria mariana L.","Atlantic Pigeonwings",CLMA4,Fabaceae,Fabaceae
1035,"Cneoridium dumosum (Nutt.) Hook. f. ex Baill.","Bush Rue",CNDU,Rutaceae,Rutaceae
1036,"Coccoloba diversifolia Jacq.",Tietongue,CODI8,Polygonaceae,Polygonaceae
1037,"Cocculus carolinus (L.) DC.","Carolina Coralbead",COCA,Menispermaceae,Menispermaceae
1038,"Cochlearia officinalis L.","Common Scurvygrass",COGR6,Brassicaceae,Brassicaceae
1039,"Cochlearia sp.","","",Brassicaceae,Brassicaceae
1040,"Cocos nucifera L.","Coconut Palm",CONU,Arecaceae,Arecaceae
1041,"Coeloglossum viride var. virescens (Muhl. ex Willd.) Luer","Longbract Frog Orchid",COVIV,Orchidaceae,Orchidaceae
1042,"Coix lacryma-jobi L.","Job's Tears",COLA,Poaceae,Poaceae
1043,"Coleogyne ramosissima Torr.",Blackbrush,CORA,Rosaceae,Rosaceae
1044,"Collinsia parviflora Lindl.","Smallflower Blue Eyed Mary",COPA3,Scrophulariaceae,Orobanchaceae
1045,"Collinsia violacea Nutt.","Violet Blue Eyed Mary",COVI2,Scrophulariaceae,Orobanchaceae
1046,"Collinsonia canadensis L.",Richweed,COCA4,Lamiaceae,Lamiaceae
1047,"Collomia grandiflora Dougl. ex Lindl.","Largeflower Mountaintrumpet",COGR4,Polemoniaceae,Polemoniaceae
1048,"Collomia linearis Nutt.","Narrowleaf Mountaintrumpet",COLI2,Polemoniaceae,Polemoniaceae
1049,"Colocasia esculenta (L.) Schott","Coco Yam",COES,Araceae,Araceae
1050,"Comandra umbellata (L.) Nutt.","Bastard Toadflax",COUMU,Santalaceae,Santalaceae
1051,"Comandra umbellata ssp. pallida (A. DC.) Piehl","Pale Bastard Toadflax",COUMP,Santalaceae,Santalaceae
1052,"Comarum palustre L.","Purple Marshlocks",COPA28,Rosaceae,Rosaceae
1053,"Commelina dianthifolia Delile","Birdbill Dayflower",CODID,Commelinaceae,Commelinaceae
1054,"Commelina erecta var. angustifolia (Michx.) Fern.","Whitemouth Dayflower",COERA,Commelinaceae,Commelinaceae
1055,"Comptonia peregrina (L.) Coult.","Sweet Fern",COPE80,Myricaceae,Myricaceae
1056,"Condalia globosa I.M. Johnston","Bitter Snakewood",COGLP,Rhamnaceae,Rhamnaceae
1057,"Condalia hookeri var. hookeri","Hooker's Bluewood",COHOH,Rhamnaceae,Rhamnaceae
1058,"Conioselinum chinense (L.) B.S.P.","Chinese Hemlockparsley",COCH2,Apiaceae,Apiaceae
1059,"Conioselinum gmelinii (Cham. & Schlecht.) Steud.","Pacific Hemlockparsley",COGM,Apiaceae,Apiaceae
1060,"Conioselinum scopulorum (Gray) Coult. & Rose","Rocky Mountain Hemlockparsley",COSC2,Apiaceae,Apiaceae
1061,"Conioselinum sp.","","",Apiaceae,Apiaceae
1062,"Conium maculatum L.","Poison Hemlock",COMA2,Apiaceae,Apiaceae
1063,"Conocarpus erectus L.","Button Mangrove",COER2,Combretaceae,Combretaceae
1064,"Conocephalum conicum","Cone Headed Liverwort","",Conocephalaceae,Conocephalaceae
1065,"Conopholis alpina var. mexicana (Gray ex S. Wats.) Haynes","Mexican Squawroot",COALM,Orobanchaceae,Orobanchaceae
1066,"Consolida ajacis (L.) Schur","Doubtful Knight's Spur",COAJ,Ranunculaceae,Ranunculaceae
1067,"Convolvulus arvensis L.","Field Bindweed",COAR4,Convolvulaceae,Convolvulaceae
1068,"Conyza canadensis (L.) Cronq.","Canadian Horseweed",COCAC3,Asteraceae,Asteraceae
1069,"Conyza canadensis var. canadensis","Canadian Horseweed",COCAC3,Asteraceae,Asteraceae
1070,"Coprosma sp.",Maile-kaluhea,"",Rubiaceae,Rubiaceae
1071,"Coptis macrosepala",Goldthread,"",Ranunculaceae,Ranunculaceae
1072,"Coptis trifolia (L.) Salisb.","Threeleaf Goldthread",COTR2,Ranunculaceae,Ranunculaceae
1073,"Corallorrhiza maculata (Raf.) Raf.","Summer Coralroot",COMAO,Orchidaceae,Orchidaceae
1074,"Cordylanthus ramosus Nutt. ex Benth.","Bushy Bird's Beak",CORA5,Scrophulariaceae,Orobanchaceae
1075,"Cordylanthus sp.",Sunflower,"",Scrophulariaceae,Orobanchaceae
1076,"Cordylanthus wrightii Gray","Wright's Bird's Beak",COWRW,Scrophulariaceae,Orobanchaceae
1077,"Cordyline fruticosa (L.) Chev.",Tiplant,COFR2,Agavaceae,Asparagaceae
1078,"Coreopsis bigelovii (Gray) Hall","Bigelow's Tickseed",COBI,Asteraceae,Asteraceae
1079,"Coreopsis leavenworthii Torr. & Gray","Leavenworth's Tickseed",COLE3,Asteraceae,Asteraceae
1080,"Coreopsis palmata Nutt.","Stiff Tickseed",COPA10,Asteraceae,Asteraceae
1081,"Coreopsis sp.",Tickseed,"",Asteraceae,Asteraceae
1082,"Coreopsis tinctoria Nutt.","Golden Tickseed",COTIT,Asteraceae,Asteraceae
1083,"Coreopsis tinctoria var. tinctoria","Golden Tickseed",COTIT,Asteraceae,Asteraceae
1084,"Coreopsis tripteris L.","Tall Tickseed",COTR4,Asteraceae,Asteraceae
1085,"Corethrogyne filaginifolia (Hook. & Arn.) Nutt.","Common Sandaster",COFIF,Asteraceae,Asteraceae
1086,"Coriandrum sativum L.","Chinese Parsley",COSA,Apiaceae,Apiaceae
1087,"Cornicularia divergens Ach.","Caribou Moss","",Alectoriaceae,""
1088,"Cornus alternifolia L. f.","Alternateleaf Dogwood",COAL2,Cornaceae,Cornaceae
1089,"Cornus amomum P. Mill.","Silky Dogwood",COAM2,Cornaceae,Cornaceae
1090,"Cornus asperifolia Michx.","Toughleaf Dogwood",COAS2,Cornaceae,Cornaceae
1091,"Cornus canadensis L.","Bunchberry Dogwood",COCA13,Cornaceae,Cornaceae
1092,"Cornus drummondii C.A. Mey.","Roughleaf Dogwood",CODR,Cornaceae,Cornaceae
1093,"Cornus florida L.","Flowering Dogwood",COFL2,Cornaceae,Cornaceae
1094,"Cornus foemina P. Mill.","Stiff Dogwood",COFO,Cornaceae,Cornaceae
1095,"Cornus glabrata Benth.","Brown Dogwood",COGL3,Cornaceae,Cornaceae
1096,"Cornus nuttallii Audubon ex Torr. & Gray","Pacific Dogwood",CONU4,Cornaceae,Cornaceae
1097,"Cornus obliqua Raf.","Silky Dogwood",COOB9,Cornaceae,Cornaceae
1098,"Cornus racemosa Lam.","Gray Dogwood",CORA6,Cornaceae,Cornaceae
1099,"Cornus rugosa Lam.","Roundleaf Dogwood",CORU,Cornaceae,Cornaceae
1100,"Cornus sericea L.","Redosier Dogwood",COSES,Cornaceae,Cornaceae
1101,"Cornus sericea ssp. occidentalis (Torr. & Gray) Fosberg","Western Dogwood",COSEO,Cornaceae,Cornaceae
1102,"Cornus sericea ssp. sericea","Redosier Dogwood",COSES,Cornaceae,Cornaceae
1103,"Cornus sp.",Willow,"",Cornaceae,Cornaceae
1104,"Cornus suecica L.","Lapland Cornel",COSU4,Cornaceae,Cornaceae
1105,"Cornus unalaschkensis Ledeb.","Western Cordilleran Bunchberry",COUN,Cornaceae,Cornaceae
1106,"Coronilla varia L.","Purple Crownvetch",COVA2,Fabaceae,Fabaceae
